,height
533,201.0
534,206.0
535,198.0
536,188.0
537,188.0
538,175.0
539,178.0
540,180.0
541,180.0
542,185.0
543,201.0
544,206.0
545,193.0
546,198.0
547,188.0
548,198.0
549,185.0
550,208.0
551,198.0
552,190.0
553,203.0
554,206.0
555,201.0
556,196.0
557,185.0
558,196.0
559,188.0
560,190.0
561,193.0
562,203.0
563,185.0
564,185.0
565,206.0
566,198.0
567,203.0
568,193.0
569,198.0
570,201.0
571,203.0
572,193.0
573,208.0
574,198.0
575,190.0
576,201.0
577,203.0
578,196.0
579,203.0
580,203.0
581,190.0
582,206.0
583,188.0
584,196.0
585,198.0
586,188.0
587,203.0
588,198.0
589,198.0
590,196.0
591,193.0
592,183.0
593,183.0
594,188.0
595,198.0
596,196.0
597,185.0
598,193.0
599,208.0
600,188.0
601,196.0
602,190.0
603,196.0
604,213.0
605,188.0
606,196.0
607,193.0
608,206.0
609,198.0
610,188.0
611,196.0
612,203.0
613,193.0
614,193.0
615,183.0
616,190.0
617,196.0
618,188.0
619,193.0
620,211.0
621,193.0
622,203.0
623,203.0
624,196.0
625,203.0
626,185.0
627,196.0
628,213.0
629,185.0
630,193.0
631,201.0
632,201.0
633,201.0
634,206.0
635,188.0
636,193.0
637,185.0
638,198.0
639,193.0
640,201.0
641,193.0
642,196.0
643,206.0
644,201.0
645,208.0
646,201.0
647,203.0
648,201.0
649,201.0
650,201.0
651,198.0
652,198.0
653,196.0
654,203.0
655,201.0
656,185.0
657,203.0
658,196.0
659,190.0
660,196.0
661,196.0
662,173.0
663,201.0
664,208.0
665,208.0
666,208.0
667,196.0
668,198.0
669,198.0
670,188.0
671,208.0
672,183.0
673,203.0
674,190.0
675,206.0
676,208.0
677,196.0
678,188.0
679,193.0
680,185.0
681,198.0
682,213.0
683,190.0
684,201.0
685,196.0
686,203.0
687,198.0
688,196.0
689,208.0
690,203.0
691,201.0
692,185.0
693,203.0
694,203.0
695,203.0
696,185.0
697,196.0
698,190.0
699,196.0
700,201.0
701,211.0
702,198.0
703,188.0
704,196.0
705,193.0
706,190.0
707,208.0
708,193.0
709,206.0
710,201.0
711,201.0
712,196.0
713,208.0
714,193.0
715,185.0
716,185.0
717,203.0
718,190.0
719,185.0
720,203.0
721,201.0
722,188.0
723,198.0
724,183.0
725,190.0
726,188.0
727,196.0
728,201.0
729,196.0
730,196.0
731,190.0
732,203.0
733,198.0
734,193.0
735,206.0
736,213.0
737,203.0
738,201.0
739,190.0
740,188.0
741,193.0
742,196.0
743,198.0
744,185.0
745,201.0
746,206.0
747,185.0
748,206.0
749,190.0
750,185.0
751,213.0
752,203.0
753,196.0
754,208.0
755,196.0
756,193.0
757,201.0
758,185.0
759,196.0
760,185.0
761,193.0
762,206.0
763,201.0
764,203.0
765,201.0
766,203.0
767,198.0
768,206.0
769,190.0
770,193.0
771,211.0
772,213.0
773,213.0
774,190.0
775,203.0
776,196.0
777,196.0
778,211.0
779,193.0
780,208.0
781,201.0
782,196.0
783,201.0
784,201.0
785,198.0
786,190.0
787,190.0
788,190.0
789,218.0
790,188.0
791,201.0
792,193.0
793,196.0
794,190.0
795,190.0
796,198.0
797,190.0
798,190.0
799,190.0
800,201.0
801,201.0
802,203.0
803,188.0
804,203.0
805,201.0
806,190.0
807,201.0
808,196.0
809,198.0
810,196.0
811,208.0
812,193.0
813,206.0
814,203.0
815,196.0
816,196.0
817,208.0
818,190.0
819,190.0
820,190.0
821,188.0
822,198.0
823,185.0
824,196.0
825,208.0
826,193.0
827,208.0
828,208.0
829,188.0
830,190.0
831,206.0
832,206.0
833,201.0
834,193.0
835,216.0
836,193.0
837,190.0
838,206.0
839,198.0
840,203.0
841,198.0
842,206.0
843,206.0
844,206.0
845,206.0
846,198.0
847,211.0
848,201.0
849,190.0
850,201.0
851,208.0
852,211.0
853,196.0
854,190.0
